cruise,date,pop,lat,lon,n_per_uL,c_per_uL,qc,diam
Thompson_9,2011-10-26T17:00:00Z,Synechococcus,47.954235,-125.96419,0.53295061951118206,0.048281544392331614,0.09059290415426302,0.82328
Thompson_9,2011-10-26T17:00:00Z,picoeukaryotes (< 2µm),47.954235,-125.96419,0.4999536768397581,0.042415893356166016,0.08483964679343858,0.80261
Thompson_9,2011-10-26T22:00:00Z,Prochlorococcus,NA,NA,28.92102234636453,1.2292859621760885,0.04250492764238723,0.61399
Thompson_9,2011-10-26T22:00:00Z,Synechococcus,NA,NA,1.540265701467292,0.16585253185566137,0.1076778712255077,0.8803
Thompson_9,2011-10-26T22:00:00Z,nanoeukaryotes (2-5µm),NA,NA,0.10135205264520639,0.13915633540449338,1.3729996756121448,2.36122
Thompson_9,2011-10-26T22:00:00Z,picoeukaryotes (< 2µm),NA,NA,3.289302356446716,0.7179097297022679,0.21825592539257874,1.15761
Thompson_9,2011-10-26T23:00:00Z,Prochlorococcus,47.087875000000004,-127.51295,50.18601810977191,2.1199995881492986,0.04224283312360471,0.61252
Thompson_9,2011-10-26T23:00:00Z,Synechococcus,47.087875000000004,-127.51295,2.368998388561001,0.2387148249573838,0.10076614070741778,0.85795
Thompson_9,2011-10-26T23:00:00Z,nanoeukaryotes (2-5µm),47.087875000000004,-127.51295,0.10416981393802226,0.14011644702433698,1.345077251531829,2.34249
Thompson_9,2011-10-26T23:00:00Z,picoeukaryotes (< 2µm),47.087875000000004,-127.51295,4.253280410421464,0.8927360144128776,0.20989352411975468,1.14021
Thompson_9,2011-10-27T00:00:00Z,Prochlorococcus,47.005565,-127.660675,57.595919773899944,2.5080007497408756,0.043544764274732466,0.61977
Thompson_9,2011-10-27T00:00:00Z,Synechococcus,47.005565,-127.660675,2.5205280635065446,0.26127264676457346,0.10365790032152723,0.86741
Thompson_9,2011-10-27T00:00:00Z,nanoeukaryotes (2-5µm),47.005565,-127.660675,0.10647896794827899,0.14730785320145343,1.383445538963212,2.36816
Thompson_9,2011-10-27T00:00:00Z,picoeukaryotes (< 2µm),47.005565,-127.660675,4.151365194823027,0.8940578980592663,0.21536479112321988,1.15164
Thompson_9,2011-10-27T01:00:00Z,Prochlorococcus,46.919333333333334,-127.82521666666666,52.568125261289346,2.350857104598454,0.04472020055715401,0.6262
Thompson_9,2011-10-27T01:00:00Z,Synechococcus,46.919333333333334,-127.82521666666666,1.5307939042226113,0.1730585614324221,0.11305150938676298,0.89707
Thompson_9,2011-10-27T01:00:00Z,nanoeukaryotes (2-5µm),46.919333333333334,-127.82521666666666,0.10964291619045496,0.14744604294546843,1.3447840322793643,2.34229
Thompson_9,2011-10-27T01:00:00Z,picoeukaryotes (< 2µm),46.919333333333334,-127.82521666666666,4.153284182600544,0.9407163195008039,0.2264993865437309,1.17436
Thompson_9,2011-10-27T02:00:00Z,Prochlorococcus,NA,NA,42.184420110729945,1.894799736653724,0.04491705069502108,0.62727
Thompson_9,2011-10-27T02:00:00Z,Synechococcus,NA,NA,1.5067930844464854,0.168259396485971,0.1116672210821703,0.8928
Thompson_9,2011-10-27T02:00:00Z,nanoeukaryotes (2-5µm),NA,NA,0.11072785626670806,0.15310423719273342,1.3827074988605774,2.36768
Thompson_9,2011-10-27T02:00:00Z,picoeukaryotes (< 2µm),NA,NA,5.604512800919911,1.1982555179339485,0.2138019058029932,1.14839
Thompson_9,2011-10-27T03:00:00Z,Prochlorococcus,46.55403333333334,-128.4814111111111,36.23895462868095,1.6198746029729025,0.04469981597346821,0.62609
Thompson_9,2011-10-27T03:00:00Z,Synechococcus,46.55403333333334,-128.4814111111111,1.3123085324993027,0.1452790061177047,0.11070491619910419,0.88981
Thompson_9,2011-10-27T03:00:00Z,nanoeukaryotes (2-5µm),46.55403333333334,-128.4814111111111,0.11354241659116746,0.1544297261565529,1.3601060360782042,2.3526
Thompson_9,2011-10-27T03:00:00Z,picoeukaryotes (< 2µm),46.55403333333334,-128.4814111111111,5.93837351958527,1.2613935306959734,0.21241397607203188,1.1455
Thompson_9,2011-10-27T04:00:00Z,Prochlorococcus,46.43937368421053,-128.68443684210527,39.585644226944495,1.729368240719678,0.043686752470294785,0.62055
Thompson_9,2011-10-27T04:00:00Z,Synechococcus,46.43937368421053,-128.68443684210527,1.3783395046219533,0.15310120757112547,0.11107655774048034,0.89097
Thompson_9,2011-10-27T04:00:00Z,nanoeukaryotes (2-5µm),46.43937368421053,-128.68443684210527,0.10182177902501142,0.13490623651435715,1.3249251565445432,2.32882
Thompson_9,2011-10-27T04:00:00Z,picoeukaryotes (< 2µm),46.43937368421053,-128.68443684210527,5.866821087909788,1.2436986891564366,0.21198851482269038,1.14461
Thompson_9,2011-10-27T05:00:00Z,Prochlorococcus,46.30674736842105,-128.91993684210527,61.275554603125435,2.6427180115337863,0.04312842256019322,0.61747
Thompson_9,2011-10-27T05:00:00Z,Synechococcus,46.30674736842105,-128.91993684210527,1.5407596666388763,0.16279087142841983,0.10565623890164746,0.87386
Thompson_9,2011-10-27T05:00:00Z,nanoeukaryotes (2-5µm),46.30674736842105,-128.91993684210527,0.09278201336122884,0.12578033731680288,1.3556543209199552,2.34961
Thompson_9,2011-10-27T05:00:00Z,picoeukaryotes (< 2µm),46.30674736842105,-128.91993684210527,4.101858641686508,0.8773382767287001,0.21388798429386544,1.14857
Thompson_9,2011-10-27T06:00:00Z,Prochlorococcus,46.167719047619045,-129.16839047619047,35.27024304710579,1.5307776187390492,0.04340139127180361,0.61898
Thompson_9,2011-10-27T06:00:00Z,Synechococcus,46.167719047619045,-129.16839047619047,1.2516053051093003,0.13641987774972988,0.10899592482776876,0.88446
